Timestamp,Badge_ID,Door_ID,Building,Result,Raw_Data_Hex
11-01-2025 00:05,6115,DOOR_105,Building_D,SUCCESS,
11-01-2025 06:41,3167,DOOR_140,Building_A,SUCCESS,
11-01-2025 19:39,7680,DOOR_148,Building_B,SUCCESS,
11-01-2025 17:50,1744,DOOR_103,Building_B,SUCCESS,
11-01-2025 13:49,8234,DOOR_116,Building_C,SUCCESS,
11-01-2025 10:49,4661,DOOR_113,Building_D,SUCCESS,
11-01-2025 03:23,1016,DOOR_144,Building_C,SUCCESS,
11-01-2025 21:13,6802,DOOR_113,Building_A,DENIED,
11-01-2025 14:23,8507,DOOR_147,Building_B,SUCCESS,
11-01-2025 07:50,2142,DOOR_149,Building_A,DENIED,
11-01-2025 23:46,5546,DOOR_143,Building_C,SUCCESS,
11-01-2025 17:50,6049,DOOR_128,Building_C,DENIED,
11-01-2025 02:33,3803,DOOR_106,Building_B,DENIED,
11-01-2025 07:34,1670,DOOR_114,Building_C,SUCCESS,
11-01-2025 20:51,4053,DOOR_140,Building_B,SUCCESS,
11-01-2025 08:37,2162,DOOR_139,Building_A,DENIED,
11-01-2025 10:36,2643,DOOR_102,Building_D,SUCCESS,
11-01-2025 20:00,1929,DOOR_120,Building_D,SUCCESS,
11-01-2025 16:52,2886,DOOR_114,Building_D,DENIED,
11-01-2025 12:40,1820,DOOR_104,Building_C,SUCCESS,
11-01-2025 23:59,7393,DOOR_127,Building_B,SUCCESS,
11-01-2025 07:06,8469,DOOR_121,Building_B,SUCCESS,
11-01-2025 12:48,2147,DOOR_100,Building_B,SUCCESS,
11-01-2025 03:26,2650,DOOR_145,Building_D,SUCCESS,
11-01-2025 07:15,6335,DOOR_102,Building_A,SUCCESS,
11-01-2025 04:48,1002,DOOR_133,Building_A,SUCCESS,
11-01-2025 00:52,6519,DOOR_130,Building_A,SUCCESS,
11-01-2025 20:17,6716,DOOR_130,Building_C,SUCCESS,
11-01-2025 08:50,2194,DOOR_108,Building_B,DENIED,
11-01-2025 10:53,3499,DOOR_123,Building_B,SUCCESS,
11-01-2025 22:28,5461,DOOR_132,Building_C,SUCCESS,
11-01-2025 16:49,8319,DOOR_145,Building_C,SUCCESS,
11-01-2025 23:23,4477,DOOR_143,Building_B,SUCCESS,
11-01-2025 09:23,2033,DOOR_116,Building_A,SUCCESS,
11-01-2025 07:32,4232,DOOR_123,Building_A,SUCCESS,
11-01-2025 00:34,7531,DOOR_131,Building_C,DENIED,
11-01-2025 13:28,2371,DOOR_149,Building_D,SUCCESS,
11-01-2025 05:49,4354,DOOR_134,Building_B,SUCCESS,
11-01-2025 04:49,5293,DOOR_143,Building_B,SUCCESS,
11-01-2025 21:25,3790,DOOR_145,Building_B,SUCCESS,
11-01-2025 03:38,2260,DOOR_109,Building_A,SUCCESS,
11-01-2025 15:31,5387,DOOR_109,Building_A,DENIED,
11-01-2025 14:08,6476,DOOR_145,Building_C,SUCCESS,
11-01-2025 20:23,3940,DOOR_124,Building_A,SUCCESS,
11-01-2025 22:38,8555,DOOR_147,Building_D,SUCCESS,
11-01-2025 13:16,1229,DOOR_103,Building_B,DENIED,
11-01-2025 07:35,7108,DOOR_129,Building_B,SUCCESS,
11-01-2025 21:15,5875,DOOR_120,Building_A,DENIED,
11-01-2025 15:01,7763,DOOR_145,Building_D,SUCCESS,
11-01-2025 21:16,7978,DOOR_127,Building_C,SUCCESS,
11-01-2025 06:46,3183,DOOR_139,Building_B,SUCCESS,
11-01-2025 02:14,4808,DOOR_110,Building_D,SUCCESS,
11-01-2025 07:49,4673,DOOR_116,Building_D,SUCCESS,
11-01-2025 07:20,6982,DOOR_113,Building_A,SUCCESS,
11-01-2025 02:09,7707,DOOR_129,Building_D,DENIED,
11-01-2025 07:12,6969,DOOR_106,Building_A,DENIED,
11-01-2025 06:57,6405,DOOR_110,Building_A,SUCCESS,
11-01-2025 18:53,6727,DOOR_121,Building_D,SUCCESS,
11-01-2025 19:55,7130,DOOR_126,Building_A,DENIED,
11-01-2025 02:49,6808,DOOR_103,Building_D,SUCCESS,
11-01-2025 21:23,6952,DOOR_105,Building_D,SUCCESS,
11-01-2025 17:55,1766,DOOR_142,Building_B,SUCCESS,
11-01-2025 14:26,3974,DOOR_123,Building_A,SUCCESS,
11-01-2025 12:14,1084,DOOR_122,Building_B,SUCCESS,
11-01-2025 21:32,8313,DOOR_136,Building_D,SUCCESS,
11-01-2025 22:51,1933,DOOR_108,Building_A,SUCCESS,
11-01-2025 13:32,4773,DOOR_143,Building_B,SUCCESS,
11-01-2025 02:48,2827,DOOR_146,Building_A,SUCCESS,
11-01-2025 05:35,7611,DOOR_129,Building_C,SUCCESS,
11-01-2025 15:30,8891,DOOR_116,Building_C,SUCCESS,
11-01-2025 03:28,8987,DOOR_147,Building_B,SUCCESS,
11-01-2025 12:12,7080,DOOR_143,Building_B,DENIED,
11-01-2025 03:56,2682,DOOR_108,Building_B,SUCCESS,
11-01-2025 10:47,6253,DOOR_147,Building_A,SUCCESS,
11-01-2025 01:33,8303,DOOR_125,Building_B,SUCCESS,
11-01-2025 05:50,5442,DOOR_134,Building_A,SUCCESS,
11-01-2025 20:32,7565,DOOR_115,Building_D,SUCCESS,
11-01-2025 01:24,4299,DOOR_103,Building_C,SUCCESS,
11-01-2025 00:32,6952,DOOR_136,Building_A,SUCCESS,
11-01-2025 23:59,1241,DOOR_138,Building_A,SUCCESS,
11-01-2025 11:15,5918,DOOR_135,Building_B,SUCCESS,
11-01-2025 18:28,8165,DOOR_136,Building_D,SUCCESS,
11-01-2025 22:02,4706,DOOR_116,Building_A,SUCCESS,
11-01-2025 00:07,8199,DOOR_113,Building_C,SUCCESS,
11-01-2025 23:06,4382,DOOR_145,Building_A,SUCCESS,
11-01-2025 21:44,6874,DOOR_146,Building_D,SUCCESS,
11-01-2025 19:23,3915,DOOR_120,Building_C,SUCCESS,
11-01-2025 12:35,1170,DOOR_146,Building_B,SUCCESS,
11-01-2025 03:54,4223,DOOR_149,Building_A,SUCCESS,
11-01-2025 02:17,7826,DOOR_110,Building_D,SUCCESS,
11-01-2025 12:54,4264,DOOR_109,Building_C,SUCCESS,
11-01-2025 01:51,6756,DOOR_102,Building_D,SUCCESS,
11-01-2025 12:28,2158,DOOR_109,Building_A,SUCCESS,
11-01-2025 09:34,4357,DOOR_137,Building_B,SUCCESS,
11-01-2025 03:57,4201,DOOR_107,Building_A,SUCCESS,
11-01-2025 15:53,1983,DOOR_124,Building_B,SUCCESS,
11-01-2025 22:48,4860,DOOR_126,Building_B,SUCCESS,
11-01-2025 13:34,4381,DOOR_114,Building_B,SUCCESS,
11-01-2025 14:06,4288,DOOR_100,Building_A,SUCCESS,
11-01-2025 08:28,5819,DOOR_136,Building_C,SUCCESS,
11-01-2025 03:55,5375,DOOR_132,Building_C,SUCCESS,
